KALIMANTAN SELATAN,229677.0,235422.0,248602.0,257170.0,255023.0,271860.0,286982.0,294159.0,244281.0,256417.0,270862.0,278536.0,268327.0,282483.0,288601.0,294677.0,302037.0,309046.0,313712.0,323191.0,287959.0,297743.0,302854,310496.0,312945.0,322321.0,337851.0,341730.0,335341.0,354054.0,370662.0,374563.0,325590.0,340430,355813.0,360394.0,356053.0,362027.0,379337.0,440577.7419354839,384188.0,389770.0,411135.0,431084.0,371204,376894.0,396308.0,415976.0,124426.0,136370.0,137860.0,141992.0,76943.0,81112.0,83630.0,86488.0,97068.0,104532.0,106618.0,110736.0,144125.0,152307.0,152617.0,153198,91060.0,98337.0,100783.0,101478.0,114464.0,122231,124920.0,125666.0,157348.0,161445,165897.0,167122.0,108587.0,116394.0,119592.0,121152.0,131631.0,137693.0,141449,143292.0,171187.0,174014.0,180716.0,189362.0,126184.0,127523.0,133660.0,141833.0,147946.0,150151,156765.0,165254.0,298518.0,313691.0,322006.0,336782.0,272614.0,290576.0,298656.0,313954.0,,,,,354103.0,371793.0,386462.0,399162.0,331966.0,352972.0,370612.0,380647.0,341349,360949,377480.0,389272.0,412452.0,434791,441218.0,447876.0,393097.0,407382.0,414494.0,424670.0,402423.0,419974.0,427774.0,436162.0,470293.0,483766.0,503748.0,508852.0,443928.0,470447.0,490254.0,495715.0,457221.0,478123.0,497262.0,503686.0,527240.0,536041.0,560053.0,588472.0,486128.0967741936,517293.0,544795.0,572917.0,519150,527045.0,553073.0,581230.0
KALIMANTAN TIMUR,337970.0,348480.0,359194.0,370609.0,333612.0,275124.0967741936,364879.0,375619.0,336356.0,348524.0,363918.0,286891.4482758621,387723.0,391088.0,394601.0,411445.0,391851.0,410491.0,424731.0,435063.0,389151.0,398030.0,405108,419549.0,422701.0,437601.0,453545.0,462661.0,441376.0,465407.0,358278.96774193546,486520.0,429165.0,446840,463823.0,470589.0,479168.0,488748.0,507661.0,541868.0,498601.0,509282.0,526674.0,556626.0,485445,387619.22580645164,513874.0,546669.0,147917.0,156071.0,112977.7741935484,164529.0,119387.0,128016.0,131096.0,134422.0,137353.0,145683.0,147287.0,154269.0,168156.0,173713.0,181664.0,190174,140868.0,144007.0,145280.0,154524.0,158943.0,163838,169596.0,178650.0,191520.0,205447,212425.0,212738.0,156075.0,162946.0,169485.0,169549.0,179991.0,191850.0,198479,199033.0,216656.0,218138.0,224534.0,230245.0,175035.0,183628.0,191875.0,201939.0,203590.0,207438,214334.0,221451.0,301874.77419354836,435313.0,448220.0,459004.0,349935.0,389784.0,404554.0,312594.06451612903,,,,,485887.0,504551.0,519653.0,535137.0,337648.86666666664,476614.0,495975.0,510041.0,473709,494207,511205.0,526686.0,555880.0,564801,576265.0,601619.0,388259.96875,401420.63333333336,570012.0,589588.0,548094.0,415377.36363636365,574704.0,598200.0,614221.0,643047.0,665970.0,675399.0,597451.0,628354.0,652620.0,656069.0,609156.0,638690.0,662302.0,669622.0,695824.0,706886.0,732195.0,772112.0,486128.0967741936,692910.0,718550.0,758565.0,689035,703223.0,728208.0,768120.0
KALIMANTAN UTARA,342729.0,355117.0,367378.0,379442.0,339904.0,351534.0,372825.0,386598.0,341484.0,353538.0,367944.0,286891.4482758621,396530.0,423315.0,432127.0,471678.0,400086.0,307069.3939393939,413858.0,430969.0,398122.0,418003.0,423796,454542.0,337950.0882352941,514485.0,526226.0,532518.0,453445.0,453992.0,460249.0,471012.0,478280.0,488970,499050.0,508699.0,378515.0606060606,556182.0,591239.0,616790.0,484174.0,496468.0,525335.0,548026.0,522517,531302.0,566292.0,590192.0,146400.0,150144.0,112977.7741935484,160057.0,118587.0,126110.0,127155.0,84715.56666666667,134137.0,139548.0,145670.0,100342.06451612903,166407.0,172487.0,172564.0,175652,137160.0,143692.0,147823.0,150711.0,153917.0,160302,162252.0,115039.25806451614,183982.0,184597,188266.0,190960.0,156288.0,169923.0,172338.0,178749.0,173136.0,178863.0,181985,186264.0,192586.0,205658.0,213278.0,217984.0,181789.0,188114.0,194647.0,202380.0,188477.0,199041,206622.0,212374.0,301874.77419354836,320886.5625,336962.4375,345928.15625,268559.1666666667,293152.3125,304420.6451612903,312594.06451612903,,,,,489129.0,505262.0,523914.0,539499.0,458490.0,477645.0,499980.0,518305.0,475621,493086,513614.0,530566.0,415816.8484848485,595802,604691.0,647330.0,537246.0,554548.0,561681.0,581681.0,552039.0,578305.0,586048.0,620500.0,679660.0,699082.0,714492.0,723478.0,609733.0,623915.0,632586.0,649761.0,651416.0,667833.0,681035.0,694963.0,739267.0,761840.0,804517.0,834774.0,665963.0,684582.0,719982.0,750406.0,710994,730343.0,772914.0,802566.0
SULAWESI UTARA,217995.0,224280.0,232497.0,234016.0,240942.0,249892.0,255577.0,255908.0,230475.0,238209.0,246007.0,246173.0,298706.3333333333,246744.0,253610.0,263853.0,267177.0,270008.0,276149.0,286801.0,301366.1612903226,259010.0,265096,275123.0,277347.0,283576.0,300906.0,306074.0,295007.0,297736.0,301162.0,307159.0,286215.0,290623,301032.0,306583.0,319561.0,326632.0,336174.0,357703.0,316222.0,320933.0,327019.0,348939.0,317970,323997.0,331904.0,353727.0,72825.0,78098.0,79831.0,79988.0,58235.0,61176.0,66408.0,66457.0,64890.0,68895.0,71471.0,100342.06451612903,83126.0,85186.0,86738.0,88912,69659.0,89454.36666666667,96030.34375,74105.0,76021.0,77393,113105.96875,81782.0,135317.90625,94021,95077.0,96428.0,77187.0,84147.0,84796.0,85659.0,85067.0,89301.0,90165,91444.0,96597.0,96796.0,97296.0,103035.0,88413.0,90517.0,92570.0,97931.0,92835.0,93933,143692.81818181818,100742.0,242840.0,255566.0,265093.0,269212.0,268559.1666666667,293152.3125,257845.0,264321.0,,,,,290820.0,302378.0,312328.0,314004.0,299177.0,311068.0,321985.0,322366.0,295365,307104,317478.0,318984.0,415816.8484848485,331931,449144.8,352765.0,336837.0,340146.0,348023.0,360907.0,333510.0,415377.36363636365,344418.0,356906.0,369608.0,377597.0,395983.0,402502.0,372194.0,381883.0,385957.0,392818.0,371282.0,379924.0,391197.0,398027.0,416158.0,423427.0,573399.8181818182,460738.0,404635.0,411450.0,419589.0,446871.0,410805,417930.0,427016.0,454469.0
SULAWESI TENGAH,249419.0,264458.0,275962.0,281450.0,261524.0,275124.0967741936,291258.0,294686.0,262380.93548387097,275518.9117647059,289910.0,291528.0,295576.0,308847.0344827586,309458.0,311845.0,297929.0,312051.0,314521.0,326791.0,297375.0,309932.9117647059,313190,322860.0,326695.0,349776.0,354798.0,374422.65625,340726.0,360828.0,366541.0,375369.0,336739.0,357664,363287.0,370310.0,367691.0,373960.0,388768.0,412305.0,386603.0,391001.0,410179.0,427956.0,380991,385989.0,404034.0,431552.0588235294,108979.0,112038.0,115108.0,117962.0,70332.0,75894.0,82889.46875,81972.0,79923.0,84865.0,85749.0,91246.0,120877.0,122686.0,124955.0,125852,85168.0,88588.0,96030.34375,91243.0,94388.0,97377,100595.0,101178.0,130498.0,131660,135083.0,136249.0,93145.0,99359.0,101230.0,103319.0,104297.0,108863.0,111340,113352.0,138692.0,142414.0,149250.0,153690.0,105631.0,109351.0,115486.0,124605.0,115881.0,119619,126217.0,133793.0,298646.0,324072.0,336900.0,349978.0,265582.0,293567.0,303975.0,321009.0,,,,,358399.0,376496.0,391070.0,399413.0,331855.0,353080.0,370392.0,376658.0,338443,358892,375659.0,382774.0,416453.0,430728,434414.0,437697.0,383097.0,400639.0,405707.0,418035.0,391763.0,408522.0,413785.0,424039.0,457193.0,495289.7878787879,489881.0,492758.0,433870.0,460187.0,467770.0,478687.0,441036.0,466527.0,474627.0,483662.0,506383.0,516374.0,538018.0,565994.0,492234.0,500351.0,525665.0,552561.0,496872,505608.0,530251.0,557183.0
SULAWESI SELATAN,181842.0,186893.0,193372.0,196645.0,190563.0,201779.0,209095.0,210928.0,187304.0,196217.0,203918.0,205767.0,204192.0,209432.0,218173.0,230867.0,215790.0,226047.0,236336.0,240452.0,211452.0,219551.0,229289,236638.0,238425.0,251107.0,257455.0,265149.0,254134.0,260579.0,268024.0,275659.0,247704.0,256826,263690.0,271199.0,276910.0,286095.0,298268.0,316179.0,281013.0,288566.0,300359.0,316911.0,279240,287467.0,299433.0,316597.0,80321.0,113120.58064516129,88304.0,90023.0,49612.0,52745.0,54579.0,84715.56666666667,61087.0,65637.0,66683.0,69594.0,92452.0,121623.34375,128084.96875,96857,89221.74193548386,61741.0,63581.0,65796.0,72009.0,74807,77256.0,79099.0,100572.0,103663,105906.0,110314.0,68088.0,70484.0,71719.0,75132.0,82176.0,125809.42424242424,86574,90832.0,112894.0,117656.0,120903.0,127538.0,77317.0,79900.0,83054.0,134341.67741935485,93251.0,96988,100322.0,106355.0,221892.0,235488.0,240276.0,246416.0,192161.0,207023.0,211271.0,219109.0,,,,,262163.0,274140.0,281676.0,286669.0,240175.0,254524.0,263674.0,267428.0,248391,261854,388934.3103448276,275361.0,296644.0,303834,314549.0,327725.0,274434.0,287788.0,299917.0,306250.0,283461.0,294358.0,306545.0,315737.0,338997.0,354770.0,363361.0,375463.0,445719.3870967742,331063.0,339743.0,350791.0,329880.0,341555.0,350264.0,362031.0,389804.0,560334.6451612903,419172.0,443717.0,358330.0,368465.0,383414.0,561981.3,372491,384455.0,399755.0,422952.0
SULAWESI TENGGARA,190438.0,200424.0,205281.0,209281.0,196016.0,204787.0,212249.0,215718.0,194409.0,203530.0,210619.0,286891.4482758621,211529.0,218461.0,220497.0,232433.0,217357.0,227757.0,230677.0,240343.0,215619.0,224360.0,226889,237715.0,242594.0,255355.0,264082.0,274804.0,338706.1212121212,262555.0,271154.0,276410.0,245761.0,259888,268511.0,275884.0,281207.0,293509.0,301800.0,324704.0,284561.0,297786.0,305321.0,327126.0,283400,296298.0,304126.0,326264.0,79264.0,81806.0,84546.0,85004.0,56620.0,59583.0,82889.46875,61261.0,63144.0,65986.0,66669.0,68243.0,120866.93548387097,90163.0,90744.0,91842,62382.0,67739.0,68026.0,71248.0,69990.0,75898,76729.0,79013.0,94284.0,100880,101982.0,109035.0,73510.0,77510.0,78865.0,83714.0,81641.0,86578.0,87933,92645.0,112976.0,116823.0,157963.28125,126476.0,85263.0,88060.0,89413.0,94558.0,95189.0,98446,100011.0,151527.875,215910.0,240089.0,241921.0,254015.0,200058.0,221905.0,226220.0,238745.0,,,,,269703.0,385512.17647058825,289827.0,294286.0,252636.0,360935.32258064515,271961.0,276978.0,257553,269516,277288.0,282161.0,297829.0,308624,311241.0,324276.0,279739.0,295496.0,298702.0,311592.0,285609.0,300258.0,303618.0,316729.0,336877.0,356235.0,366063.0,383839.0,321197.0,340065.0,350019.0,360123.0,327402.0,346466.0,356444.0,368529.0,394183.0,560334.6451612903,420442.0,451180.0,369824.0,385845.0,394734.0,421684.0,378589,394744.0,552748.0909090909,432464.0
ACEH,191995.0,201515.0,209232.0,211756.0,207980.0,216687.0,224958.0,226546.0,202433.0,211422.0,219469.0,221772.0,221124.0,233999.0,237890.0,246148.0,233542.0,242180.0,321968.78125,255886.0,229465.0,239329.0,245508,252117.0,255870.0,261635.0,279230.0,281726.0,259698.0,279108.0,292558.0,298431.0,258158.0,272431,287272.0,291402.0,292463.0,298372.0,307264.0,321061.0,310257.0,315316.0,324541.0,342791.0,303108,308586.0,317319.0,333794.0,71293.0,73066.0,75076.0,75400.0,55866.0,58476.0,59232.0,59453.0,61220.0,63539.0,64764.0,65196.0,77368.0,78933.0,80305.0,81220,61514.0,62173.0,64790.0,67246.0,67265.0,68377,70788.0,73011.0,135317.90625,91439,91971.0,94014.0,68899.0,72832.0,74253.0,75481.0,74912.0,80678.0,81718,83441.0,97496.0,102847.0,106015.0,115590.0,78352.0,83491.0,85647.0,89278.0,86719.0,91919,94588.0,101167.0,224622.0,237600.0,246633.0,250157.0,219827.0,232048.0,241936.0,246290.0,,,,,263288.0,274581.0,284308.0,287156.0,263846.0,275163.0,284190.0,285999.0,263653,274961,284233.0,286968.0,298492.0,312931,318195.0,327369.0,295057.0,304353.0,314727.0,323133.0,296730.0,307706.0,316296.0,325129.0,339000.0,353074.0,371201.0,375740.0,328597.0,351940.0,366811.0,373911.0,333070.0,353109.0,368990.0,374843.0,389959.0,401219.0,413279.0,436651.0,388609.0,398806.0,410188.0,432069.0,389827,400505.0,411907.0,434961.0
SULAWESI BARAT,262366.75757575757,212226.0,215503.0,220419.0,209873.0,221332.0,230339.0,233676.0,208787.0,219500.0,227208.0,230960.0,233411.0,308847.0344827586,255642.0,259387.0,240903.0,247744.0,248042.0,249420.0,239358.0,249544.0,249788,251463.0,261198.0,266109.0,277068.0,278234.0,252528.0,351876.4375,268940.0,270167.0,254518.0,262966,270655.0,271458.0,286970.0,299813.0,317189.0,334024.0,372772.96774193546,297024.0,313544.0,327816.0,279747,297545.0,314221.0,329203.0,52529.0,56854.0,57721.0,59698.0,53237.0,58262.0,60001.0,62063.0,53095.0,57979.0,59632.0,61558.0,61766.0,63058.0,65681.0,67038,63946.0,67392.0,70469.0,74140.0,63493.0,66374,69333.0,72578.0,67608.0,74540,77925.0,78733.0,75486.0,77679.0,80755.0,114210.74193548386,73626.0,76976.0,80088,81416.0,81929.0,82480.0,87516.0,94951.0,85163.0,87574.0,91833.0,98484.0,84504.0,86540,90966.0,97774.0,218429.0,230973.0,235934.0,245959.0,211850.0,228346.0,233215.0,246695.0,,,,,257004.0,269080.0,273224.0,280117.0,263110.0,279594.0,368300.4516129032,295739.0,261882,277479,286840.0,292518.0,295178.0,318376,321324.0,459224.3548387097,304849.0,401420.63333333336,318512.0,323561.0,302851.0,315918.0,434302.17647058825,324042.0,328806.0,340649.0,354993.0,356967.0,328014.0,339838.0,349695.0,352269.0,328144.0,339942.0,350743.0,352874.0,368899.0,560334.6451612903,404705.0,428974.0,363308.0,511958.75,405377.0,426299.0,364251,384085.0,405187.0,426977.0
MALUKU,293811.0,294604.0,301282.0,309375.0,315018.0,320259.0,327734.0,333547.0,306768.0,310278.0,318165.0,286891.4482758621,319133.0,341556.0,342923.0,328398.51612903224,342515.0,347373.0,351733.0,364361.0,333356.0,345090.0,348099,361160.0,380992.0,399149.0,407169.0,423608.0,388514.0,424033.0,428902.0,433906.0,385303.0,414480,419778.0,429678.0,431414.0,441674.0,460569.0,495440.0,440977.0,457656.0,473778.0,497638.0,436876,450442.0,403224.2727272727,496691.0,106536.0,110325.0,111698.0,115745.25,84158.0,85243.0,87443.0,90151.0,92864.0,95001.0,96137.0,100275.0,118510.0,119996.0,124804.0,127820,93271.0,96192.0,96604.0,102147.0,103508.0,106124,108357.0,113012.0,139398.0,146707,151053.0,160453.0,111187.0,118574.0,123188.0,132591.0,123475.0,130898.0,135419,144007.0,165150.0,171643.0,178780.0,187267.0,139669.0,142688.0,151424.0,166486.0,150854.0,155467,162991.0,175765.0,315012.0,358068.0,362783.0,369738.0,285967.0,339466.0,345536.0,355478.0,,,,,400347.0,404929.0,412980.0,424788.0,399176.0,405502.0,415177.0,423698.0,399632,405279,414302.0,424656.0,437644.0,461552,467727.0,484316.0,435787.0,443565.0,413154.0,466508.0,436864.0,451214.0,456456.0,474172.0,520390.0,545855.0,558222.0,513067.8064516129,499701.0,542606.0,552090.0,566497.0,508778.0,545378.0,555197.0,573685.0,533656.5454545454,613316.0,639349.0,682707.0,580646.0,600344.0,625202.0,664124.0,587730,605909.0,631326.0,672456.0
MALUKU UTARA,279379.0,292989.0,301209.0,284353.0606060606,273858.0,289208.0,298037.0,301999.0,275361.0,290237.0,295078.0,304466.0,315481.0,318011.0,330654.0,328398.51612903224,303436.0,307493.0,320771.0,329212.0,306642.0,310354.0,323639,329899.0,352536.0,358394.0,360482.0,364415.0,343631.0,344340.0,357381.0,361627.0,346075.0,348361,358264.0,362406.0,383780.0,398678.0,405708.0,429919.0,376259.0,390416.0,396637.0,420428.0,378475,392506.0,399127.0,423139.0,81553.0,85550.0,89579.0,93810.0,63930.0,67117.0,73252.0,77455.0,68726.0,72134.0,81476.0,82024.0,94931.0,95786.0,98243.0,118003,80348.0,83421.0,84786.0,86329.0,84356.0,86985,88628.0,95381.0,121938.0,125670,128282.0,130288.0,89184.0,91693.0,94698.0,97954.0,98575.0,101087.0,104375,107190.0,132670.0,134553.0,136264.0,143872.0,102193.0,104581.0,106751.0,111933.0,110900.0,112927,115255.0,121138.0,284374.0,317176.0,321231.0,339561.0,248026.0,281482.0,286242.0,307374.0,,,,,360933.0,378538.0,390788.0,405368.0,337789.0,356325.0,371289.0,379454.0,344087,362371,388934.3103448276,386490.0,410412.0,413797,428897.0,449693.0,383784.0,390914.0,405558.0,415541.0,390998.0,397339.0,412267.0,425280.0,474475.0,484064.0,488764.0,494703.0,432815.0,436033.0,452080.0,459580.0,444650.0,449448.0,462639.0,469596.0,516450.0,533231.0,541972.0,573792.0,478452.0,494997.0,503388.0,532361.0,489375,505433.0,514382.0,544277.0
PAPUA BARAT,328107.0,346945.0,355672.0,370573.0,358458.0,374902.0,382574.0,391900.0,346975.0,364325.0,372548.0,384627.0,375359.0,378551.0,383367.0,421470.0,397246.0,404857.0,407711.0,439399.0,389400.0,395479.0,398435,432692.0,433054.0,448816.0,453352.0,458403.0,447368.0,456010.0,470084.0,471297.0,441803.0,453232,463545.0,465715.0,474175.0,493825.0,407307.06666666665,535410.0,476185.0,491591.0,500372.0,525865.0,475394,387619.22580645164,503916.0,529916.0,123915.0,131755.0,132055.0,137689.0,75669.21875,82321.0,84422.0,89046.0,94594.0,101023.0,102419.0,100342.06451612903,140489.0,144831.0,146928.0,162059,89221.74193548386,89454.36666666667,98229.0,98872.48484848485,110377.0,114383,117927.0,128283.0,164353.0,169463,176386.0,177136.0,107703.0,115627.0,126202.0,130993.0,131510.0,138104.0,147343,150672.0,180703.0,189323.0,157963.28125,206365.0,137459.0,138294.0,141193.0,156596.0,156024.0,160036,161688.0,178241.0,382905.0,320886.5625,416158.0,440241.0,355839.0,389163.0,389812.0,423701.0,,,,,452022.0,478699.0,487727.0,508262.0,435207.0,457222.0,368300.4516129032,369049.0333333333,441569,465348,474967.0,492968.0,515849.0,523381,530295.0,583530.0,488564.0,499086.0,505941.0,544623.0,499777.0,509862.0,516362.0,560975.0,597406.0,618279.0,629738.0,635539.0,555072.0,571637.0,596286.0,602290.0,573313.0,591336.0,610888.0,616387.0,654878.0,683148.0,700168.0,741776.0,613644.0,629885.0,641565.0,682461.0,631418,652521.0,665604.0,708157.0
PAPUA,289615.0,269843.29411764705,305903.0,314057.0,307562.0,275124.0967741936,328157.0,336344.0,302807.0,305579.0,283453.6060606061,331243.0,328874.0,308847.0344827586,361012.0,378574.0,349305.0,350279.0,378887.0,392449.0,344637.0,346106.0,374752,388843.0,394446.0,402419.0,408356.0,419488.0,408203.0,424006.0,428109.0,443201.0,404631.0,418367,423243.0,365481.8181818182,428098.0,434937.0,456263.0,493024.0,451443.0,455814.0,476758.0,507226.0,445607,450729.0,471880.0,503948.0,151082.0,154345.0,161082.0,115745.25,80533.0,80060.875,84834.0,88921.0,99224.0,94300.06060606061,105265.0,108778.0,169493.0,121623.34375,181530.0,188327,91981.0,96715.0,103112.0,107165.0,103349.74193548386,117951,124711.0,129967.0,194298.0,201039,202759.0,202858.0,102005.58064516129,114082.0,114586.0,119210.0,135468.0,138869.0,139749,143093.0,206605.0,208134.0,220512.0,230322.0,122067.0,126343.0,131446.0,138890.0,146352.0,150066,157295.0,165460.0,362401.0,387789.0,404944.0,345928.15625,298395.0,322079.0,338206.0,340846.0,,,,,440697.0,445057.0,466985.0,479294.0,388095.0,392446.0,412991.0,369049.0333333333,402031,406385,427175.0,440021.0,498368.0,508403,542542.0,566903.0,441287.0,446994.0,482000.0,499615.0,457541.0,464057.0,499463.0,518811.0,588744.0,603458.0,507412.9705882353,622346.0,520117.0,538088.0,542695.0,562412.0,540099.0,557236.0,562992.0,580463.0,634703.0,643071.0,676775.0,723346.0,573510.0,582157.0,608205.0,646116.0,591959,600795.0,629175.0,669408.0
ACEH,262366.75757575757,247840.0,255181.0,259886.0,245357.0,256120.0,266132.0,270038.0,242241.0,251943.0,260469.0,264941.0,270856.0,283220.0,295272.0,328398.51612903224,278277.0,284740.0,294302.0,299883.0,274544.0,283964.0,294806,302022.0,316687.0,329220.0,339519.0,342356.0,309287.0,320019.0,331492.0,335042.0,313232.0,324911,335793.0,339003.0,353767.0,363836.0,377958.0,401969.0,344277.0,355299.0,370096.0,391093.0,349474,360007.0,374454.0,397125.0,104263.0,108538.0,109346.0,112228.0,72524.0,76914.0,77514.0,80382.0,88535.0,92866.0,93917.0,97050.0,114765.0,117775.0,120342.0,121860,83218.0,86169.0,89606.0,92270.0,103349.74193548386,103196,106414.0,108647.0,125375.0,129160,132303.0,144946.60606060605,95111.0,98495.0,101788.0,102860.0,112018.0,115627.0,118859,119943.0,148182.26470588235,138894.0,143536.0,150380.0,105908.0,109175.0,114113.0,122077.0,123051.0,126161,131014.0,138422.0,289042.0,275779.0,318514.0,326853.0,253273.0,275779.0,286097.0,296681.0,,,,,342541.0,356378.0,364527.0,372114.0,317881.0,333034.0,343647.0,350420.0,330776,344809,354386.0,361991.0,385621.0,400995,449144.8,425770.0,361496.0,370910.0,383908.0,392154.0,374477.0,387160.0,401220.0,410669.0,442063.0,458380.0,471822.0,513067.8064516129,404398.0,418515.0,433281.0,437902.0,425250.0,440538.0,454652.0,458946.0,489848.0,502730.0,521494.0,552349.0,450185.0,464474.0,484209.0,561981.3,472525,528624.0294117647,505468.0,535547.0
